,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Q21A,Q22A,Q23A,Q24A,Q25A,Q26A,Q27A,Q28A,Q29A,Q30A,Q31A,Q32A,Q33A,Q34A,Q35A,Q36A,Q37A,Q38A,Q39A,Q40A,Q41A,Q42A,gender
0,4,4,2,4,4,4,4,4,2,1,4,4,4,4,4,4,3,4,3,3,1,4,4,4,4,4,4,3,4,2,4,4,2,3,4,4,1,2,4,3,4,4,2
1,4,1,2,3,4,4,3,4,3,2,2,2,4,4,3,3,4,2,1,1,2,3,1,2,2,3,3,4,3,3,2,3,3,2,2,3,4,2,2,1,2,2,2
2,3,1,4,1,4,3,1,3,2,4,2,1,4,1,4,4,4,2,2,1,4,3,2,4,2,1,2,1,2,2,4,3,1,4,3,4,4,4,2,2,1,4,2
3,2,3,2,1,3,3,4,2,3,3,2,1,1,4,2,2,3,1,1,2,1,1,1,1,1,2,4,1,3,3,3,1,2,4,1,1,2,1,3,4,4,2,2
4,2,2,3,4,4,2,4,4,4,3,2,4,4,4,4,3,4,4,4,4,3,3,4,2,4,4,2,4,2,4,3,4,4,4,3,4,3,3,3,4,4,3,2
5,1,1,2,1,3,1,1,3,3,2,1,2,1,3,2,4,2,1,1,2,1,1,1,2,1,1,1,1,3,2,2,1,4,1,3,2,2,2,1,1,1,2,2
6,1,1,2,3,4,1,3,3,3,4,1,2,2,2,3,4,2,2,1,3,4,1,3,3,2,2,1,2,2,3,4,2,4,3,2,2,4,4,4,2,2,3,2
7,1,1,1,1,3,2,2,1,1,1,2,1,1,2,2,1,1,2,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2
8,4,4,3,4,3,4,4,4,4,3,4,4,4,3,4,4,3,4,4,4,3,4,4,3,2,4,2,4,4,3,4,2,4,4,2,4,4,3,2,4,4,4,1
9,3,2,4,1,4,4,3,4,4,4,4,4,4,4,2,4,4,1,4,4,4,3,1,4,3,4,4,4,4,3,4,2,4,4,3,4,4,4,4,4,3,4,2
10,3,1,2,1,3,3,1,3,1,1,3,2,2,4,2,3,2,3,1,1,1,1,1,3,1,1,3,1,3,2,3,3,1,2,3,1,1,2,3,1,1,2,1
11,3,3,2,2,4,3,1,3,4,3,3,3,3,3,1,1,3,2,4,3,2,4,1,2,3,3,2,2,3,3,2,2,4,3,2,3,1,2,4,3,1,2,2
12,1,1,1,1,1,2,1,3,1,3,3,2,3,4,1,3,3,2,4,2,3,2,1,2,1,3,3,1,3,3,1,1,1,2,1,2,4,2,4,2,3,2,2
13,1,4,1,2,3,1,1,3,2,1,2,1,4,1,1,3,4,3,1,1,1,3,2,3,1,1,2,3,3,3,2,2,2,1,1,4,1,1,2,4,2,3,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,3,1,2,2,2,1,1,1,2,2,2,1,2,3,1,2,3,3,1,1,2,2,2,2,1,3,3,1,1,1,2,2,1,2,3,1,2,1,3,3,1,3,2
16,3,1,2,2,1,3,1,3,4,1,3,3,3,1,1,1,3,3,1,3,1,3,1,2,1,4,4,3,4,3,1,3,4,1,3,3,1,1,3,4,1,3,2
17,3,1,2,1,2,3,1,2,2,2,2,1,2,2,1,3,2,2,2,1,2,1,1,2,1,2,2,1,1,1,3,2,1,2,2,1,2,1,2,2,1,1,2
18,3,2,2,1,3,1,1,2,1,2,1,1,1,4,1,3,1,2,1,1,1,1,1,3,2,1,2,1,1,1,3,2,1,1,4,1,1,2,3,1,1,4,1
19,2,2,2,1,4,3,1,1,3,2,2,1,3,1,1,2,2,4,2,4,3,1,1,3,1,3,3,1,1,2,2,1,1,2,4,1,3,2,3,1,1,4,2
20,3,1,2,1,2,3,1,2,2,2,4,1,3,2,1,1,2,4,2,1,1,3,1,1,1,3,2,1,2,1,1,1,1,2,1,1,1,1,2,2,1,2,2
21,3,1,2,1,3,3,1,3,2,3,3,1,2,3,2,3,2,3,1,1,2,3,1,4,1,2,4,1,3,1,3,4,1,2,3,1,2,2,4,2,1,3,1
22,3,2,3,4,3,3,4,4,2,4,3,3,4,2,2,3,4,3,2,4,4,4,2,3,3,4,3,3,4,3,3,3,3,4,3,4,4,4,4,3,3,3,2
23,3,2,2,2,1,4,1,2,3,2,3,2,3,4,1,2,2,2,1,3,2,2,1,2,1,3,2,3,4,2,3,2,2,3,3,3,2,1,3,3,1,4,2
24,2,3,2,1,3,2,2,2,3,2,2,2,3,2,2,3,2,2,3,1,2,2,2,2,2,4,2,3,2,2,2,1,2,2,1,2,3,2,2,1,1,3,1
25,4,1,4,2,4,3,3,4,2,4,4,3,4,3,2,4,4,3,2,4,4,4,2,4,4,4,4,4,4,4,4,2,2,4,2,2,4,4,4,3,4,4,2
26,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,2
27,2,2,1,2,1,2,4,1,3,2,2,4,3,2,3,3,2,1,4,4,1,3,1,4,3,2,4,3,2,1,1,1,4,1,2,2,1,1,3,2,2,1,2
28,4,3,4,4,4,3,4,3,4,4,4,4,4,1,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
29,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,3,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2
30,2,2,3,1,3,3,1,3,2,2,3,4,3,2,1,2,3,4,1,4,2,3,2,4,3,3,3,3,2,2,2,1,3,3,2,2,3,3,2,3,1,2,1
31,2,2,2,1,4,2,1,1,2,2,2,2,4,2,1,2,4,1,3,2,4,1,2,3,1,4,1,1,3,1,1,1,1,4,1,1,2,4,1,3,1,4,1
